created_at,updated_at,name,id,municipality_id
2023-06-12 05:11:55.938742 +00:00,2023-06-12 05:11:55.938751 +00:00,10,2597,1032
2023-06-12 05:11:55.962926 +00:00,2023-06-12 05:11:55.962934 +00:00,11,160429,1032
2023-06-12 05:23:33.153508 +00:00,2023-06-12 05:23:33.153519 +00:00,B 2,73048,1189
2023-06-12 05:11:56.000164 +00:00,2023-06-12 05:11:56.000171 +00:00,13,223382,1032
2023-06-12 05:11:56.019035 +00:00,2023-06-12 05:11:56.019043 +00:00,14,254636,1032
2023-06-12 05:11:56.061385 +00:00,2023-06-12 05:11:56.061393 +00:00,15,256924,1032
2023-06-12 05:11:56.141509 +00:00,2023-06-12 05:11:56.141517 +00:00,16,448624,1032
2023-06-12 05:11:56.178928 +00:00,2023-06-12 05:11:56.178936 +00:00,16a,222067,1032
2023-06-12 05:11:56.197548 +00:00,2023-06-12 05:11:56.197555 +00:00,17 (Plaza Rev.),380827,1032
2023-06-12 05:11:56.216158 +00:00,2023-06-12 05:11:56.216166 +00:00,18,476252,1032
2023-06-12 05:11:56.234903 +00:00,2023-06-12 05:11:56.234911 +00:00,19,380829,1032
2023-06-12 05:11:56.253658 +00:00,2023-06-12 05:11:56.253666 +00:00,19 de Mayo,190216,1032
2023-06-12 05:11:56.302503 +00:00,2023-06-12 05:11:56.302541 +00:00,2,288841,1032
2023-06-12 05:11:56.329207 +00:00,2023-06-12 05:11:56.329244 +00:00,20,97586,1032
2023-06-12 05:11:56.354060 +00:00,2023-06-12 05:11:56.354076 +00:00,20 de Mayo,349373,1032
2023-06-12 05:11:56.372100 +00:00,2023-06-12 05:11:56.372108 +00:00,21,451,1032
2023-06-12 05:11:56.391238 +00:00,2023-06-12 05:11:56.391246 +00:00,22,160356,1032
2023-06-12 05:11:56.409575 +00:00,2023-06-12 05:11:56.409583 +00:00,24,256834,1032
2023-06-12 05:11:56.447020 +00:00,2023-06-12 05:11:56.447027 +00:00,25,128670,1032
2023-06-12 05:11:56.465621 +00:00,2023-06-12 05:11:56.465628 +00:00,26 A,255663,1032
2023-06-12 05:11:56.484451 +00:00,2023-06-12 05:11:56.484459 +00:00,27,64896,1032
2023-06-12 05:11:56.502978 +00:00,2023-06-12 05:11:56.502985 +00:00,27 de Noviembre (Jovellar),353559,1032
2023-06-12 05:11:56.521538 +00:00,2023-06-12 05:11:56.521545 +00:00,28,317503,1032
2023-06-12 05:11:56.541016 +00:00,2023-06-12 05:11:56.541026 +00:00,28 A,320089,1032
2023-06-12 05:11:56.562261 +00:00,2023-06-12 05:11:56.562298 +00:00,29,159177,1032
2023-06-12 05:11:56.589255 +00:00,2023-06-12 05:11:56.589292 +00:00,2da,285798,1032
2023-06-12 05:11:56.616654 +00:00,2023-06-12 05:11:56.616706 +00:00,30,192749,1032
2023-06-12 05:11:56.644112 +00:00,2023-06-12 05:11:56.644154 +00:00,32,412574,1032
2023-06-12 05:11:56.670621 +00:00,2023-06-12 05:11:56.670661 +00:00,36,412989,1032
2023-06-12 05:11:56.724963 +00:00,2023-06-12 05:11:56.725001 +00:00,38,33424,1032
2023-06-12 05:11:56.749055 +00:00,2023-06-12 05:11:56.749071 +00:00,3ra (Plaza Revolución),190374,1032
2023-06-12 05:11:56.775628 +00:00,2023-06-12 05:11:56.775635 +00:00,4,253770,1032
